epoch,btc_price,date,volume_binance_futures,volume_hitbtc_derivatives,volume_poloniex_futures,volume_perpetual_protocol,volume_huobi_dm,volume_bitfinex_futures,volume_bitrue_futures,volume_bitforex_futures,volume_kraken_futures,volume_bitget_futures,volume_okex_swap,volume_mxc_futures,volume_bybit,volume_bingx_futures,volume_kumex,volume_gate_futures,volume_bitmex,volume_deribit,volume_dydx_perpetual,volume_crypto_com_futures,sum
1592179200,9345.96,2020-06-15 00:00:00+00:00,3888.5642312399996,0.0,0.0,0.0,5949.759633479999,5.41131084,0.0,574.60831272,63.30953303999999,0.0,3182.4208774799995,0.0,1285.06015404,0.0,0.0,45.131640839999996,2245.66596072,273.65905476,0.0,0.0,17513.590709159995
1592265600,9431.72,2020-06-16 00:00:00+00:00,3890.9994956799997,0.0,0.0,0.0,5002.056111679999,5.96084704,0.0,401.21593708,48.87517304,0.0,2478.21272516,0.0,1077.79093956,0.0,0.0,36.63280048,2084.07057808,230.67157604,0.0,0.0,15256.486183839997
1592352000,9524.93,2020-06-17 00:00:00+00:00,2441.82057973,0.0,0.0,0.0,3304.0743929100004,3.20037648,0.0,277.14688821000004,28.984361990000004,0.0,1814.4896400700002,0.0,672.63150674,0.0,72.31326856,17.583020780000002,1370.68505165,139.43545027000002,0.0,0.0,10142.364537390002
1592438400,9463.36,2020-06-18 00:00:00+00:00,2883.9873500800004,0.0,0.0,0.0,3719.1951136000002,5.431968640000001,0.0,304.16185376,45.46198144,0.0,1901.0565369600001,0.0,751.3813206400001,0.0,110.58882496000001,22.0969456,1625.9377350400002,186.54175232000003,0.0,0.0,11555.841383040002
1592524800,9399.77,2020-06-19 00:00:00+00:00,2768.82445051,0.0,0.0,0.0,3635.2858493400004,3.6565105300000003,0.0,302.2966032,42.89115051,0.0,2152.23713759,0.0,923.85639445,0.0,115.41037606,22.54064846,1513.14677529,163.71579409,0.0,0.0,11643.861690030002
1592611200,9312.78,2020-06-20 00:00:00+00:00,1946.8552845600002,0.0,0.0,0.0,2550.26755188,2.11400106,0.0,222.20293080000002,20.385675420000002,0.0,1469.0351683200001,0.0,574.71027936,0.0,88.16408826,16.41843114,1107.9321238200002,102.00287934,0.0,0.0,8100.08841396
1592697600,9360.25,2020-06-21 00:00:00+00:00,2050.2129985,0.0,0.0,0.0,2793.5291715,1.946932,0.0,213.713228,24.0184015,0.0,1495.02849025,0.0,643.498467,0.0,99.02208475,19.31019575,1164.53678325,107.717757,0.0,0.0,8612.534509500001
1592784000,9298.36,2020-06-22 00:00:00+00:00,1863.9027538000003,0.0,0.0,0.0,2645.91342652,1.37615728,0.0,180.48116760000002,21.84184764,0.0,1367.00769376,0.0,471.04561924,0.0,83.1738302,16.23493656,1031.7088321600002,115.55071972000002,0.0,0.0,7798.236984480001
1592870400,9678.68,2020-06-23 00:00:00+00:00,3516.13862116,0.0,0.0,0.0,4278.7508544,8.1784846,0.0,281.28179816000005,39.78905348000001,0.0,1990.5173287999999,0.0,877.63366636,0.0,105.43953992,21.62217112,1762.08112344,214.624729,0.0,0.0,13096.05737044
1592956800,9624.68,2020-06-24 00:00:00+00:00,2706.25789772,0.0,0.0,0.0,3531.83407408,4.91821148,0.0,208.97105216,31.1839632,0.0,1879.4112636000002,0.0,587.9235778000001,0.0,85.67890136,19.71134464,1350.46772484,152.4549312,0.0,0.0,10558.81294208
1593043200,9288.06,2020-06-25 00:00:00+00:00,4696.1174404799995,0.0,0.0,0.0,6518.07257814,5.67500466,0.0,485.301135,73.49641878,0.0,3451.10872584,0.0,1360.4593004399999,0.0,144.68011062,40.6817028,2617.5703572599996,348.55302762,0.0,0.0,19741.71580164
